Name,Range,Games Played,Ideal Max Tries,Max Tries,Max Tries Dups,Min Tries,Min Tries Dups,Avg of Tries
Robin,100,6,7,8,0,3,1,5.33
Computer,100,6,7,7,3,2,0,4.67
